Session,Measure,Question,N_down,Mean_down,SD_down,N_up,Mean_up,SD_up,t,df,p_value
pre,stais_1,I feel calm,9,3.33333333333333,0.707106781186547,10,3.3,0.823272602348565,0.0949157995752508,16.9723731537461,0.925493319858868
post,stais_1,I feel calm,8,3,0.925820099772551,8,3.25,0.707106781186548,-0.606976978666884,13.0932642487047,0.55424641924443
pre,stais_2,I feel secure,9,3.11111111111111,0.781735959970572,10,3.4,0.516397779494322,-0.939418185588901,13.6465991417906,0.363847372139103
post,stais_2,I feel secure,8,3.25,0.707106781186548,8,3.375,0.744023809142845,-0.344447481913586,13.9638968481375,0.735642204979847
pre,stais_3,I am tense,9,1.22222222222222,0.440958551844098,10,1.3,0.483045891539648,-0.366899692852671,16.9929300864101,0.718222756094125
post,stais_3,I am tense,8,1.5,0.534522483824849,8,1.25,0.462910049886276,1,13.72,0.334621726540488
pre,stais_4,I feel strained,9,1,0,10,1.2,0.421637021355784,-1.5,9,0.167850656057075
post,stais_4,I feel strained,8,1.125,0.353553390593274,8,1.25,0.462910049886276,-0.606976978666884,13.0932642487047,0.55424641924443
pre,stais_5,I feel at ease,9,3,1,10,3.4,0.699205898780101,-1,14.1531927802214,0.334101624448348
post,stais_5,I feel at ease,8,3,0.925820099772551,8,2.75,1.03509833901353,0.509175077217316,13.8292682926829,0.618656617132455
pre,stais_6,I feel upset,9,1,0,10,1,0,NaN,NaN,NaN
post,stais_6,I feel upset,8,1,0,8,1.125,0.353553390593274,-1,7,0.350616662820207
pre,stais_7,I am presently worrying over possible misfortunes,9,1,0,10,1.2,0.421637021355784,-1.5,9,0.167850656057075
post,stais_7,I am presently worrying over possible misfortunes,8,1.25,0.462910049886276,8,1.25,0.462910049886276,0,14,1
pre,stais_8,I feel satisfied,9,2.88888888888889,0.927960727138337,10,3,0.816496580927726,-0.275763716569867,16.0890878957928,0.786240071584179
post,stais_8,I feel satisfied,8,2.875,0.991031208965115,8,3.125,0.640869944461656,-0.599144689515278,11.9831176139561,0.560233374725124
pre,stais_9,I feel frightened,9,1,0,10,1,0,NaN,NaN,NaN
post,stais_9,I feel frightened,8,1,0,8,1,0,NaN,NaN,NaN
pre,stais_10,I feel comfortable,9,3,0.707106781186548,10,3.3,0.483045891539648,-1.06810349237447,13.9446749654219,0.303616203650972
post,stais_10,I feel comfortable,8,2.625,0.517549169506766,8,3.25,0.707106781186548,-2.01736646196482,12.8275520317146,0.0650815645153292
pre,stais_11,I feel self-confident,9,2.88888888888889,0.600925212577332,10,3.3,0.483045891539648,-1.63200003814755,15.3851663670047,0.122974793342082
post,stais_11,I feel self-confident,8,2.625,0.517549169506766,8,3.125,0.640869944461656,-1.7167901505579,13.4058355437666,0.109019134316717
pre,stais_12,I feel nervous,9,1.22222222222222,0.440958551844098,10,1.3,0.483045891539648,-0.366899692852671,16.9929300864101,0.718222756094125
post,stais_12,I feel nervous,8,1.125,0.353553390593274,8,1.125,0.353553390593274,0,14,1
pre,stais_13,I am jittery,9,1.11111111111111,0.333333333333333,10,1,0,1,8,0.346593507087334
post,stais_13,I am jittery,8,1.375,0.744023809142845,8,1,0,1.42557288993447,7,0.197022072157751
pre,stais_14,I feel indecisive,9,1.11111111111111,0.333333333333333,10,1.1,0.316227766016838,0.0743294146247164,16.5543203638201,0.941639061625463
post,stais_14,I feel indecisive,8,1,0,8,1.125,0.353553390593274,-1,7,0.350616662820207
pre,stais_15,I am relaxed,9,3,0.707106781186548,10,3.1,0.737864787372622,-0.301511344577764,16.9193440107413,0.766698908210963
post,stais_15,I am relaxed,8,2.75,0.886405260427918,8,3.25,0.462910049886276,-1.41421356237309,10.5538461538462,0.18611509579723
pre,stais_16,I feel content,9,3,0.707106781186548,10,3.4,0.699205898780101,-1.23770549551055,16.7471833210488,0.232897699483706
post,stais_16,I feel content,8,2.75,1.03509833901353,8,3.25,0.462910049886276,-1.24721912892465,9.69230769230769,0.241612134797603
pre,stais_17,I am worried,9,1,0,10,1.2,0.421637021355784,-1.5,9,0.167850656057075
post,stais_17,I am worried,8,1.125,0.353553390593274,8,1.25,0.462910049886276,-0.606976978666884,13.0932642487047,0.55424641924443
pre,stais_18,I feel confused,9,1,0,10,1,0,NaN,NaN,NaN
post,stais_18,I feel confused,8,1,0,8,1,0,NaN,NaN,NaN
pre,stais_19,I feel steady,9,2.88888888888889,0.927960727138337,10,3.2,0.632455532033676,-0.844615768369467,13.9240420960404,0.412602880051298
post,stais_19,I feel steady,8,2.625,1.18773493916542,8,3.375,0.517549169506766,-1.63733046872945,9.56572842561089,0.133987403789733
pre,stais_20,I feel pleasant,9,2.88888888888889,0.781735959970572,10,3.3,0.483045891539648,-1.36106700163876,13.0708806529205,0.196497334490035
post,stais_20,I feel pleasant,8,2.75,0.886405260427918,8,3.25,0.462910049886276,-1.41421356237309,10.5538461538462,0.18611509579723
pre,stais_state_score,STAI-State Total Score,9,30.6666666666667,7.15891053163818,10,28.6,6.44980619863884,0.658346243818919,16.2495187105541,0.519535193840236
post,stais_state_score,STAI-State Total Score,8,33.25,8.82771609356415,9,26.1111111111111,11.4939597663778,1.44463139176874,14.7282126344464,0.169499226409693
